fyear,at,bkvlps,invt,Lt,rectr,cogs,dvt,ebit,gp,ni,oiadp,revt,dvpsx_f,mkvalt,prch_f,Bankrupt
2001,9.252,1.9283,0,0.731,0.079,0.75,0,-0.379,0.442,-0.288,-0.379,1.192,0,10.3847,2.635,no
2001,20.315,0.3903,0.066,5.24,0.106,1.407,0,-4.481,-0.028,-4.585,-4.481,1.379,0,22.29,2.14,no
2001,5.182,3.6446,1.558,1.501,0.193,7.638,0,-0.788,2.843,0.262,-0.788,10.481,0,3.737,4.4,no
2001,1.038,0.0083,0.289,0.903,0.218,0.756,0,-1.361,0.632,-1.365,-1.361,1.388,0,18.9306,1.75,no
2001,10.301,0.2367,1.626,6.099,1.15,8.108,0,0.651,3.008,-0.175,0.651,11.116,0,1.3313,0.12,no
2001,3.595,0.0276,0.512,3.118,1.262,8.88,0,-2.217,-1.885,-2.1,-2.217,6.995,0,34.54,2.5,no
2001,23.276,0.9936,0,8.519,1.315,2.858,0,-4.025,11.894,-6.961,-4.025,14.752,0,58.205,5.04,no
2001,195.549,5.517,135.672,94.946,1.339,201.315,2.838,24.183,210.542,14.659,24.183,411.857,0.16,270.4251,15.1,yes
2001,14.17,2.6465,8.292,4.055,2.014,8.001,0.154,2.383,12.553,1.531,2.383,20.554,0.04,26.0278,7.89,no
2001,81.024,-0.257,0,129.8,2.985,22.011,0.027,-32.578,-6.139,-57.345,-32.578,15.872,0,89.7669,2.3,no
2001,21.664,2.303,9.275,3.194,3.537,41.054,0,8.236,20.775,8.065,8.236,61.829,0,127.919,19.14,no
2001,43.986,4.0273,23.502,13.495,7.485,90.988,0.833,1.61,6.83,0.94,1.61,97.818,0.14,20.0632,3.49,no
2001,200.016,1.9741,56.57,193.841,9.553,539.726,0,7.898,183.333,-1.614,7.898,723.059,0,2.127,5,yes
2001,61.841,5.1925,32.844,37.024,12.712,47.794,0,3.651,24.572,1.182,3.651,72.366,0,27.0646,8.25,no
2001,680.941,5.8189,0,54.922,12.975,46.856,0,-289.701,23.607,-335.087,-289.701,70.463,0,435.7112,15.35,yes
2001,391.174,9.2859,160.212,273.002,22.719,470.281,0,10.792,248.841,0.425,10.792,719.122,0,32.324,6.2,yes
2001,844.185,12.4388,4.167,720.916,27.615,697.014,0,73.127,132.42,16.543,73.127,829.434,0,227.93,30,yes
2001,75.329,0.5594,0,62.109,28.683,114.761,0,3.557,34.653,3.593,3.557,149.414,0,49.6272,2.43,yes
2001,135.839,1.0085,41.657,83.769,29.401,254.569,0,10.824,63.882,19.407,10.824,318.451,0,40.2041,2,yes
2001,344.415,4.5988,45.11,179.478,29.715,147.675,0,-101.16,46.278,-148.917,-101.16,193.953,0,652.743,23.7,yes
2001,413.685,5.7487,6.604,244.552,35.392,331.47,0,16.385,113.605,16.55,16.385,445.075,0,538.9927,23.75,yes
2001,147.987,10.3511,74.301,57.881,45.469,168.203,0,0.357,21.345,-1.226,0.357,189.548,0,67.4638,8.3,no
2001,1014.556,-2.2719,112.601,1451.331,126.381,503.657,0,-54.264,629.004,-374.893,-54.264,1132.661,0,288.372,13.15,yes
2001,984.94,4.9516,218.005,810.197,146.011,1812.597,2.621,-70.638,467.85,-161.928,-70.638,2280.447,0.08,376.5443,17.25,yes
2001,1602.942,6.8733,80.139,1301.712,197.083,1677.06,14.442,173.057,1855.363,69.789,173.057,3532.423,0.28,1187.2463,28.5,yes
2001,2358.1,-16.1653,155.2,2806.3,266.2,1777.4,0,-17,261.7,-396.7,-17,2039.1,0,6.4518,8.5,yes
2001,1915.868,-20.2951,404.667,2453.594,304.797,1817.974,1.051,-5.88,610.576,-304.082,-5.88,2428.55,0.04,8.1875,12.3,yes
2001,3773.455,23.4884,76.519,3274.349,325.502,1817.92,12.961,111.82,240.586,2.721,111.82,2058.506,0,369.9451,22.77,yes
2001,4133.197,12.2608,1234.243,1572.852,553.273,7117.46,14.556,236.62,2472.343,190.799,236.62,9589.803,0.07,3733.7552,31.4,yes
2002,3,-1.007,0,3.587,0,0,0,-1.154,0,-1.217,-1.154,0,0,2.997,3.75,no
2002,2.643,-0.9861,0,12.25,0,0,0,-0.133,0.737,-1.278,-0.133,0.737,0,0.0974,0.02,yes
2002,1.009,-0.4164,0,5.644,0,0.548,0,-8.807,0.396,-29.56,-8.807,0.944,0,1.6967,214,no
2002,0,-0.2529,0,1.446,0,0,0,-0.11,0,-0.097,-0.11,0,0,0.343,1.65,no
2002,0,-0.0345,0,0.03,0,0.014,0,-0.012,-0.002,-0.014,-0.012,0.012,0,0.0608,7,no
2002,0.128,-0.0308,0,1.011,0,0,0,-0.469,0,-0.505,-0.469,0,0,0.717,0.24,no
2002,0.001,-0.0267,0,0.299,0,0,0,-0.777,0,-4.265,-0.777,0,0,0.3409,0.63,no
2002,0,-0.013,0,0.026,0,0,0,-0.098,0,-0.098,-0.098,0,0,0.3,32,no
2002,0,-0.0023,0,0.197,0,0,0,-0.129,0,12,-0.129,0,0,0.3554,0.014,yes
2002,3.459,0.0073,0,3.394,0,0,16.88,16.825,17.436,16.886,16.825,17.436,2.11,196.482,25.5,no
2002,50.247,1.9108,0,16.237,0,0.516,0,-6.823,0.391,-11.108,-6.823,0.907,0,13.0808,1.37,no
2002,248.497,7.7239,0,229.952,0,5.233,0.228,3.658,11.486,1.052,3.658,16.719,0.095,22.5694,10.66,no
2002,179.537,10.109,0.302,164.606,0,3.162,0.002,2.272,5.774,0.784,2.272,8.936,0,21.7267,16.0952,no
2002,578.359,4.0905,0.331,527.171,0,7.337,3.244,22.908,40.223,11.715,22.908,47.56,0.26,172.9435,19.75,no
2002,640.01,10.9734,0.368,591.398,0,12.904,2.323,11.889,33.351,5.702,11.889,46.255,0.525,73.981,17.5,no
2002,2009.047,7.1159,0.533,1894.096,0,71.851,6.459,27.093,54.878,16.308,27.093,126.729,0.4,306.1183,22.5,no
2002,36.563,6.346,0.541,3.881,0,21.754,2.371,5.394,8.056,3.819,5.394,29.81,0.46,58.401,12.25,no
2002,2163.702,-5.0556,30.403,2460.488,0,433.748,0,-411.222,184.727,-664.799,-411.222,618.475,0,8.8056,23.1,yes
2002,348.729,8.3053,164.615,242.405,0,457.095,0,9.502,242.558,-11.973,9.502,699.653,0,20.4832,3.88,yes
2002,0.301,-0.0607,0,1.302,0.002,0.112,0,-1.449,-0.056,-1.587,-1.449,0.056,0,2.4732,0.85,no
2002,3.994,0.1509,0,0.474,0.006,0.493,0,-0.723,-0.344,-0.733,-0.723,0.149,0,1.3999,1.5,no
2002,0.13,-0.0736,0,0.757,0.018,4.943,0,-4.486,-4.44,-4.236,-4.486,0.503,0,4.1016,4.35,no
2002,0.285,-0.0049,0,2.424,0.022,1.597,0,-1.403,0.294,-3.588,-1.403,1.891,0,0.3462,0.0075,no
2002,0.262,-0.1494,0.138,3.343,0.026,0.117,0,-1.078,0.132,-0.987,-1.078,0.249,0,10.314,0.61,no
2002,0.316,-0.6972,0,4.214,0.035,0.664,0,-0.96,-0.426,1.597,-0.96,0.238,0,2.7955,1.45,no
2002,0.49,0.0409,0.065,0.294,0.036,0.06,0,0.198,0.462,0.166,0.198,0.522,0,0.3354,0.12,no
2002,0.334,-0.0189,0,1.204,0.039,0.36,0,-0.915,0.377,-0.925,-0.915,0.737,0,3.1261,0.18,no
2002,1.77,-0.0556,0,3.617,0.053,1.329,0.303,-5.295,1.178,-6.001,-5.295,2.507,0,8.2595,1.73,no
2002,1.113,0.0049,0.079,0.651,0.054,0.105,0,-0.229,0.263,-0.194,-0.229,0.368,0,0.754,0.025,no
2002,4.466,0.0688,0.297,3.572,0.073,3.242,0,-3.393,-2.985,-3.581,-3.393,0.257,0,51.96,7,no
2002,1.975,0.0599,0.158,0.959,0.131,1.102,0,-0.196,1.014,-0.799,-0.196,2.116,0,1.5255,4,no
2002,1.264,-2.6424,0,5.208,0.133,0.575,0,-1.496,-0.106,-4.614,-1.496,0.469,0,0.4207,2.55,no
2002,6.267,0.489,0,0.293,0.138,4.377,0,-4.273,-4.159,-3.951,-4.273,0.218,0,101.8814,21,no
2002,6.653,3.2864,0.01,0.228,0.153,0.154,0.481,1.015,1.3,0.737,1.015,1.454,0,10.166,7,no
2002,0.767,-0.0274,0.189,0.994,0.225,3.023,0,0.131,1.196,0.18,0.131,4.219,0,5.7925,0.89,yes
2002,8.968,1.9044,0,0.644,0.275,0.684,0,-0.293,0.427,-0.05,-0.293,1.111,0,14.4243,3.7,no
2002,3.905,0.4953,0,1.605,0.281,1.111,0,-3.608,0.843,-4.984,-3.608,1.954,0,0.8359,0.75,yes
2002,4.232,0.0171,0.466,2.747,0.335,2.177,0.153,-0.952,0.711,-0.505,-0.952,2.888,0,1.2709,0.36,no
2002,1.129,0.0385,0.377,0.544,0.379,1.004,0,-0.641,1.125,-0.574,-0.641,2.129,0,1.9735,3.15,no
2002,4.866,1.2947,0.963,1.105,0.379,4.144,0.203,0.556,3.108,0.434,0.556,7.252,0.07,2.8179,2.98,no
2002,2.17,0.1217,0.056,1.011,0.38,5.37,0,0.184,1.955,0.204,0.184,7.325,0,0.1809,0.4,no
2002,3.683,0.1329,0.211,0.736,0.497,1.333,0,-2.886,0.9,-2.829,-2.886,2.233,0,29.943,3.85,no
2002,1.025,-0.1067,0.054,2.086,0.499,2.716,0,-0.52,0.9,-0.758,-0.52,3.616,0,0.497,0.17,yes
2002,69.602,-0.1889,0,115.506,0.524,14.203,0.03,-22.81,-1.009,-41.197,-22.81,13.194,0,92.2597,0.77,no
2002,7.774,9.2977,0.397,0.559,0.679,3.363,0,0.083,0.828,0.11,0.083,4.191,0,5.626,8.8,no
2002,15.151,2.8719,2.028,3.069,0.776,7.777,0,-4.201,-0.483,-2.889,-4.201,7.294,0,11.5272,7.19,no
2002,9.862,0.3555,1.256,3.318,0.782,2.817,0.007,-2.243,2.551,-6.011,-2.243,5.368,0,8.1677,1.25,no
